rok;prijemce;castka;ucel;soubor
2024;Generace Care z.ú_0;125648;provoz pečovatelské služby;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Generace Care z.ú_0.pdf
2024;Včelařský spolek ve Střelicích u Brna;80000;činnost spolku, budování včelařského areálu;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Včelařský spolek ve Střelicích u Brna 2024.pdf
2024;SRPZŠ;55000;;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - SRPZŠ 2024.pdf
2024;Myslivecký spolek Výrovka;52000;podpora kultur. akcí – ples - hudební produkce 10 000,-Kč, letní noc – hudební produkce 5 000,- Kč, Dětský den – občerstvení a ceny pro děti 15 000,- Kč, údržba mysliveckého zaříze;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Myslivecký spolek Výrovka 2024.pdf
2024;Diakonie ČCE -středisko Betlém;35000;Provozní náklady související s poskytováním soc. služeb osobám s těžkým zdravotním postižením;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Diakonie ČCE -středisko Betlém 2024_0.pdf
2024;Rodinné centrum PifPaf z.s.;35000;Velikonoční dílny, Vánoční dílny, Den matek, výtvarný materiál, kancelářské potřeby, propagační materiál, odměny pro děti;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Rodinné centrum PifPaf z.s.   2024.pdf
2024;Střelická Chasa;34000;Krojovaný ples, Kácení máje;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Střelická Chasa 2024.pdf
2024;Střeličáci  z.s.;30000;nákup zvukové aparatury;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Střeličáci  z.s. 2024.pdf
2024;Diecézní charita Brno-Oblastní charita Rajhrad;24900;Pečovatelská služba, odborné soc. poradenství;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Diecézní charita Brno-Oblastní charita Rajhrad 2024.pdf
2024;Komunita Blahoslavenství - Dům ve Střelicích u Brna;20000;na pořízení nových oken;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Komunita Blahoslavenství - Dům ve Střelicích u Brna 2024.pdf
2024;FC AB Střelice z.s.;15000;startovné v okresní soutěži futsalu Brno, pronájem haly ZŠ Střelice;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - FC AB Střelice z.s. 2024.pdf
2024;Pěvecký sbor Blahoslava Hajnce;10000;služby, provozní náklady;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Pěvecký sbor Blahoslava Hajnce 2024.pdf
2024;Český svaz chovatelů ZO Ostopovice;6000;posuzovatelé na podzimní výstavě zvířat 3 000,- Kč, vybavení klecí -misky, podlážky, pletivo 3 000,- Kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Český svaz chovatelů ZO Ostopovice 2024_0.pdf
2024;DOTYK II o.p.s.;6000;nájemné a pohonné hmoty;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - DOTYK II o.p.s. 2024.pdf
2025;Tělocvičná jednota Sokol Střelice;650000;údržba budov, provoz oddílů, kulturní akce, energie, rekonstrukce sprch, rozdělení na pánské a dámské, oprava poškozené podlahy v salónku;Tělocvičná jednota Sokol Střelice 2025.pdf
2025;FK Střelice  z.s.;520000;pořízení VEO kamery, výpočetní techniky, údržba stávajících travnatých ploch-hnojivo, zapískování, podsetí, regenerace, sekání. Údržba a modernizace areálu včetně vnitřních prostor;FK Střelice  z.s.  2025.pdf
2025;Junák-český skaut středisko Wahinkpe;200000;Úprava venkovních prostor areálu klubovny, doplnění táborového a sportovního vybavení a ostatní vybavení kluboven, zajištění celoroční činnosti střediska, nákup pomůcek pro činnost;Junák-český skaut středisko Wahinkpe 2025.pdf
2025;Římskokatolická farnost Střelice;200000;provoz, oprava kostela a jeho areálu;Římskokatolická farnost Střelice 2025.pdf
2025;Diecézní charita Brno-Oblastní charita Rajhrad;100000;Pečovatelská služba, odborné soc. poradenství;Diecézní charita Brno-Oblastní charita Rajhrad 2025.pdf
2025;Sbor dobrovolných hasičů;90000;pořádání kulturní a sportovních akcí;Sbor dobrovolných hasičů 2025.pdf
2025;Včelařský spolek ve Střelicích u Brna;80000;budování včelařského areálu;Včelařský spolek ve Střelicích u Brna 2025.pdf
2025;SRPZŠ;55000;;SRPZŠ 2025.pdf
2025;Myslivecký spolek Výrovka;47000;podpora kultur. akcí – ples - hudební produkce, letní noc – hudební produkce, uspořádání Dětského dne – občerstvení a ceny pro děti, údržba mysliveckých zařízení – hromosvod, nátěr;Myslivecký spolek Výrovka 2025.pdf
2025;Střelická Chasa;40000;Krojovaný ples, Pololetní noc a další kulturní akce a činnosti spolku, Dožínky 2025;Střelická Chasa 2025.pdf
2025;Diakonie ČCE -středisko Betlém;38000;Provozní náklady související s poskytováním soc. služeb osobám s těžkým zdravotním postižením;Diakonie ČCE -středisko Betlém 2025.pdf
2025;Střeličáci  z.s.;35000;obnova částí folklorního krojového oděvu;Střeličáci  z.s. 2025.pdf
